id,figür,ana_kategori,evren,oyun_grubu,ölçek,boy,etsy,görsel_sayısı,açıklama_var,klasör
GAM-0112,Dovahkiin,Oyun,Skyrim,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Skyrim\Dovahkiin
GAM-0113,Mio & Zoe,Oyun,Split Fiction,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Split Fiction\Mio & Zoe
GAM-0114,Kerrigan,Oyun,Starcraft,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Starcraft\Kerrigan
GAM-0115,Artanis,Oyun,Starcraft II,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Starcraft II\Artanis
GAM-0116,Akuma,Oyun,Street Fighter,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Akuma
GAM-0117,Akuma 2,Oyun,Street Fighter,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Akuma 2
GAM-0118,Cammy,Oyun,Street Fighter,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Cammy
GAM-0119,Chun-Li,Oyun,Street Fighter,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Chun-Li
GAM-0120,Guil,Oyun,Street Fighter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Guil
GAM-0121,Juri Han,Oyun,Street Fighter,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Juri Han
GAM-0122,M. Bison,Oyun,Street Fighter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\M. Bison
GAM-0123,StreetWear Cammy,Oyun,Street Fighter,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\StreetWear Cammy
GAM-0124,Zangief,Oyun,Street Fighter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Street Fighter\Zangief
GAM-0125,Chun Li 2,Oyun,streetfighter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\streetfighter\Chun Li 2
GAM-0126,Diorama joel ellie,Oyun,The Last of Us,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Last of Us\Diorama joel ellie
GAM-0127,Joel,Oyun,The Last of Us,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Last of Us\Joel
GAM-0128,The Punisher,Oyun,The Punisher,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Punisher\The Punisher
GAM-0129,Ciri,Oyun,The Witcher,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Witcher\Ciri
GAM-0130,Geralt,Oyun,The Witcher,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Witcher\Geralt
GAM-0131,Geralt 4,Oyun,The Witcher,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Witcher\Geralt 4
GAM-0132,Geralt3,Oyun,The Witcher,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Witcher\Geralt3
GAM-0133,triss,Oyun,The Witcher,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\The Witcher\triss
GAM-0134,Geralt 2,Oyun,thewitcher,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\thewitcher\Geralt 2
GAM-0135,Nathan Drake,Oyun,Uncharted,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Uncharted\Nathan Drake
GAM-0136,Nathan Drake 2,Oyun,Uncharted,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Uncharted\Nathan Drake 2
GAM-0137,Galactic Soldier,Oyun,Warhammer,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Warhammer\Galactic Soldier
LOL-0001,Akali,Oyun,League of Legends,League of Legends,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\Akali
LOL-0002,Ashe,Oyun,League of Legends,League of Legends,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\Ashe
LOL-0003,Evelynn,Oyun,League of Legends,League of Legends,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\Evelynn
LOL-0004,Nidalee,Oyun,League of Legends,League of Legends,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\Nidalee
LOL-0005,TWITCH,Oyun,League of Legends,League of Legends,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\TWITCH
LOL-0006,Viego,Oyun,League of Legends,League of Legends,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\League of Legends\Viego
LOL-0007,Miss Fortune,Oyun,leagueoflegends,League of Legends,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\leagueoflegends\Miss Fortune
MAR-0001,Black panther,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Black panther
MAR-0002,Black Panther 2,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Black Panther 2
MAR-0003,CAPTAIN AMERICA,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\CAPTAIN AMERICA
MAR-0004,Cyclops,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Cyclops
MAR-0005,Deadpool,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Deadpool
MAR-0006,Deadpool 2,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Deadpool 2
MAR-0007,DOC OCK,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\DOC OCK
MAR-0008,Doctor Strange,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Doctor Strange
MAR-0009,Dr Doom,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Dr Doom
MAR-0010,Dr. Octopus,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Dr. Octopus
MAR-0011,Electro,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Electro
MAR-0012,Erik Killmonger,Marvel,Marvel,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Erik Killmonger
MAR-0013,Gambit,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Gambit
MAR-0014,Gambit 2,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Gambit 2
MAR-0015,Green Goblin,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Green Goblin
MAR-0016,Groot and Rocket Diorama,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Groot and Rocket Diorama
MAR-0017,HULKBUSTER,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\HULKBUSTER
MAR-0018,Iron Man,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Iron Man
MAR-0019,Jubilee,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Jubilee
MAR-0020,Juggernaut,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Juggernaut
MAR-0021,kingpin,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\kingpin
MAR-0022,Logan2,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Logan2
MAR-0023,LOKI,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\LOKI
MAR-0024,Magneto,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Magneto
MAR-0025,Mary Jane,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Mary Jane
MAR-0026,ODIN,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\ODIN
MAR-0027,Rhino,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Rhino
MAR-0028,ROGUE1,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\ROGUE1
MAR-0029,SABRETHOOTH,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\SABRETHOOTH
MAR-0030,Sandman,Marvel,Marvel,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Sandman
MAR-0031,Scarlet Spider,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Scarlet Spider
MAR-0032,Spider man,Marvel,Marvel,Diğer Oyunlar,,,,1,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Spider man
MAR-0033,Spider man 4,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Spider man 4
MAR-0034,Spider-Man diorama,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Spider-Man diorama
MAR-0035,Spiderman Diorama,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Spiderman Diorama
MAR-0036,SPIDERPUNK,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\SPIDERPUNK
MAR-0037,STAN LEE,Marvel,Marvel,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\STAN LEE
MAR-0038,STAN LEE 2,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\STAN LEE 2
MAR-0039,STORM,Marvel,Marvel,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\STORM
MAR-0040,The Lizard,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\The Lizard
MAR-0041,The Symbiote,Marvel,Marvel,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\marvel\The Symbiote
MAR-0042,THE THING,Marvel,Marvel,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\THE THING
MAR-0043,THOR,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\THOR
MAR-0044,TONY STARK,Marvel,Marvel,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\TONY STARK
MAR-0045,Wolverine,Marvel,Marvel,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Wolverine
MAR-0046,Wonderwoman,Marvel,Marvel,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\marvel\Wonderwoman
MOV-0001,Jinx,Film-Dizi,Arcane,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Arcane\Jinx
MOV-0002,Jinx2,Film-Dizi,Arcane,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Arcane\Jinx2
MOV-0003,Vi,Film-Dizi,Arcane,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Arcane\Vi
MOV-0004,DR. EMMETT BROWN,Film-Dizi,back to the future,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\back to the future\DR. EMMETT BROWN
MOV-0005,MARTY MCFLY,Film-Dizi,back to the future,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\back to the future\MARTY MCFLY
MOV-0006,BRUCE LEE,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\BRUCE LEE
MOV-0007,CHUCK NORRIS,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\CHUCK NORRIS
MOV-0008,Cthulhu,Film-Dizi,Cthulhu,Diğer Oyunlar,,,,5,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\Cthulhu\Cthulhu
MOV-0009,Devilman,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Devilman
MOV-0010,Paul Atreides,Film-Dizi,Dune,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Dune\Paul Atreides
MOV-0011,Ghostface- Scream,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Ghostface- Scream
MOV-0012,Daenerys Targaryen,Film-Dizi,got,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\got\Daenerys Targaryen
MOV-0013,GRINCH,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\GRINCH
MOV-0014,Albus Dumbledore,Film-Dizi,Harry potter,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Albus Dumbledore
MOV-0015,Dobby,Film-Dizi,Harry potter,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Dobby
MOV-0016,HARRY POTTER,Film-Dizi,Harry potter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\HARRY POTTER
MOV-0017,Harry Potter 2,Film-Dizi,Harry potter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Harry Potter 2
MOV-0018,Hermione Granger,Film-Dizi,Harry potter,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Hermione Granger
MOV-0019,Hermione in the Common Room,Film-Dizi,Harry potter,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Hermione in the Common Room
MOV-0020,Ron Weasley,Film-Dizi,Harry potter,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Ron Weasley
MOV-0021,Voldemort,Film-Dizi,Harry potter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\Voldemort
MOV-0022,VOLDEMORT 2,Film-Dizi,Harry potter,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Harry potter\VOLDEMORT 2
MOV-0023,He-Man,Film-Dizi,heman,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\heman\He-Man
MOV-0024,HEMAN 3,Film-Dizi,heman,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\heman\HEMAN 3
MOV-0025,Skeletor,Film-Dizi,heman,Diğer Oyunlar,,,,5,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\heman\Skeletor
MOV-0026,Skeletor Master of the Universe,Film-Dizi,heman,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\heman\Skeletor Master of the Universe
MOV-0027,Bilbo Baggins,Film-Dizi,Hobbit,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Hobbit\Bilbo Baggins
MOV-0028,Smaug,Film-Dizi,Hobbit,Diğer Oyunlar,,,,11,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Hobbit\Smaug
MOV-0029,Tauriel,Film-Dizi,Hobbit,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Hobbit\Tauriel
MOV-0030,Toothless,Film-Dizi,How to Train Your Dragon,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\How to Train Your Dragon\Toothless
MOV-0031,Katniss Everdeen,Film-Dizi,Hunger Games,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Hunger Games\Katniss Everdeen
MOV-0032,Indiana Jones,Film-Dizi,Indiana Jones,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Indiana Jones\Indiana Jones
MOV-0033,Inspector Gadget,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Inspector Gadget
MOV-0034,Allen the Alien,Film-Dizi,Invincible,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Invincible\Allen the Alien
MOV-0035,Battle Beast,Film-Dizi,Invincible,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Invincible\Battle Beast
MOV-0036,Mark,Film-Dizi,Invincible,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Invincible\Mark
MOV-0037,Omni-Man,Film-Dizi,Invincible,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Invincible\Omni-Man
MOV-0038,JASON,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\JASON
MOV-0039,John Wick,Film-Dizi,John Wick,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\John Wick\John Wick
MOV-0040,Lara Croft 4,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Lara Croft 4
MOV-0041,LOLA BUNNY,Film-Dizi,looney tunes,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\looney tunes\LOLA BUNNY
MOV-0042,Aragorn,Film-Dizi,Lord of the Rings,Diğer Oyunlar,,,,5,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\Lord of the Rings\Aragorn
MOV-0043,Witch-King,Film-Dizi,Lord of the Rings,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Lord of the Rings\Witch-King
MOV-0044,aragorn 2,Film-Dizi,LOTR,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\aragorn 2
MOV-0045,Aragorn 3,Film-Dizi,LOTR,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Aragorn 3
MOV-0046,arwen,Film-Dizi,LOTR,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\arwen
MOV-0047,arwen 2,Film-Dizi,LOTR,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\arwen 2
MOV-0048,Balrog vs Gandalf 2,Film-Dizi,LOTR,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Balrog vs Gandalf 2
MOV-0049,Gandalf 3,Film-Dizi,LOTR,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Gandalf 3
MOV-0050,Gandalf Vs Balrog,Film-Dizi,LOTR,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Gandalf Vs Balrog
MOV-0051,Gollum,Film-Dizi,LOTR,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Gollum
MOV-0052,Legolas,Film-Dizi,LOTR,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Legolas
MOV-0053,Sauron,Film-Dizi,LOTR,Diğer Oyunlar,,,,3,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Sauron
MOV-0054,Witch King 2,Film-Dizi,LOTR,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\LOTR\Witch King 2
MOV-0055,MORPHEUS,Film-Dizi,matrix,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\matrix\MORPHEUS
MOV-0056,neo,Film-Dizi,matrix,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\matrix\neo
MOV-0057,SMITH,Film-Dizi,matrix,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\matrix\SMITH
MOV-0058,TRINITY,Film-Dizi,matrix,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\matrix\TRINITY
MOV-0059,Pennywise - IT,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Pennywise - IT
MOV-0060,PENNYWISE 2,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\PENNYWISE 2
MOV-0061,BARBOSSA,Film-Dizi,Pirates of the Caribbean,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Pirates of the Caribbean\BARBOSSA
MOV-0062,Davy Jones,Film-Dizi,Pirates of the Caribbean,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Pirates of the Caribbean\Davy Jones
MOV-0063,JACK SPARROW,Film-Dizi,Pirates of the Caribbean,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Pirates of the Caribbean\JACK SPARROW
MOV-0064,JACK SPARROW 2,Film-Dizi,Pirates of the Caribbean,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Pirates of the Caribbean\JACK SPARROW 2
MOV-0065,Popeye,Film-Dizi,Film-Dizi,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Popeye
MOV-0066,RICK AND MORTY,Film-Dizi,RICK AND MORTY,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\RICK AND MORTY\RICK AND MORTY
MOV-0067,Daphne,Film-Dizi,scooby doo,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\scooby doo\Daphne
MOV-0068,velma,Film-Dizi,scooby doo,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\scooby doo\velma
MOV-0069,Spawn,Film-Dizi,Spawn,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Spawn\Spawn
MOV-0070,SPAWN 2,Film-Dizi,Spawn,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Spawn\SPAWN 2
MOV-0071,Ahsoka Tano vs Darth Maul diorama,Film-Dizi,Star Wars,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Ahsoka Tano vs Darth Maul diorama
MOV-0072,Anakin,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Anakin
MOV-0073,Boba Fett,Film-Dizi,Star Wars,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Boba Fett
MOV-0074,Darth Maul,Film-Dizi,Star Wars,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Darth Maul
MOV-0075,Darth Vader,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Darth Vader
MOV-0076,Darth vader 2,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Darth vader 2
MOV-0077,General Grievous,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\General Grievous
MOV-0078,Kylo Ren,Film-Dizi,Star Wars,Diğer Oyunlar,,,,5,Hayır,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Kylo Ren
MOV-0079,MANDALORIAN AND GROGU,Film-Dizi,Star Wars,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\MANDALORIAN AND GROGU
MOV-0080,Padme Amidala,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Padme Amidala
MOV-0081,Princess Leia,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Princess Leia
MOV-0082,Princess Leia 2,Film-Dizi,Star Wars,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Princess Leia 2
MOV-0083,Qui-Gon Jinn,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Qui-Gon Jinn
MOV-0084,Rey Skywalker,Film-Dizi,Star Wars,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Rey Skywalker
MOV-0085,SAMURAI AHSOKA,Film-Dizi,Star Wars,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\SAMURAI AHSOKA
MOV-0086,Slave Rey Skywalker,Film-Dizi,Star Wars,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\film-dizi\Star Wars\Slave Rey Skywalker
